[0807/150202.859:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4494001ca200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150202.892:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4494001ca200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/150336.644:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x43ac001d3a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150336.840:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x43ac001d3a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150336.920:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x43ac001d3a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150336.944:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x43ac001d3a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/150338.877:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x147c001c7a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150339.027:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x147c001c7a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150339.071:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x147c001c7a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150339.095:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x147c001c7a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/150345.148:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6cc4001cd600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150345.320:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6cc4001cd600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150345.406:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6cc4001cd600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150345.414:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6cc4001cd600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/150346.010:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x499400186e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150346.140:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x499400186e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150346.183:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x499400186e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150346.198:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x499400186e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/150347.375:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5f34001b8a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150347.454:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5f34001b8a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150347.493:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5f34001b8a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150347.503:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5f34001b8a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/150452.360:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6a0400b19800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150452.952:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6a0400b19800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150453.120:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6a0400b19800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150453.145:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6a0400b19800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/150454.525:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5d1c00185000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150454.954:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5d1c00185000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150455.114:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5d1c00185000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150455.137:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5d1c00185000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
